combo_id	pattern_id	title	family	platform	nav	shell	density	interaction	brief_lock
A0031	m-status-bar-legible	Status bar legible	mobile-touch-a11y	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-DEFAULT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-status-bar-legible; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-DEFAULT; IX=IX-PRIMARY-THUMB; IMPL=history-stack,inputmode,optimistic-ui,scroll-padding; FEEL=Content not under status
A0032	m-keyboard-avoid	Keyboard avoidance	mobile-touch-a11y	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-DEFAULT	IX-FORM-SECTIONED	PLATFORM=mobile-phone; PATTERN=m-keyboard-avoid; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-DEFAULT; IX=IX-FORM-SECTIONED; IMPL=app-badge,aria-current,aria-expanded,debounce-search; FEEL=Focused field visible
A0033	m-large-text	Dynamic type / large text	mobile-touch-a11y	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-COMFORTABLE	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-large-text; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-COMFORTABLE; IX=IX-PRIMARY-THUMB; IMPL=vibrate-careful,flex-phone-column,form-novalidate,service-worker-offline; FEEL=Layout flexes with text size
A0034	m-contrast-outdoor	Outdoor contrast	mobile-touch-a11y	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-DEFAULT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-contrast-outdoor; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-DEFAULT; IX=IX-PRIMARY-THUMB; IMPL=live-region,type-date,push-web,vibrate-careful; FEEL=High contrast for sun
A0035	m-one-hand	One-handed path	mobile-touch-a11y	mobile-phone	NAV-BOTTOM-TABS	SH-PHONE-TABS	D-TOUCH-COMFORT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-one-hand; NAV=NAV-BOTTOM-TABS; SHELL=SH-PHONE-TABS; DENSITY=D-TOUCH-COMFORT; IX=IX-PRIMARY-THUMB; IMPL=install-pwa,safe-area-css,focus-trap,focus-visible; FEEL=Critical path without stretch
A0036	m-gesture-alt	Gesture + visible alt	mobile-touch-a11y	mobile-phone	NAV-STACK-PUSH	SH-PHONE-FEED	D-DEFAULT	IX-SWIPE-ACTIONS	PLATFORM=mobile-phone; PATTERN=m-gesture-alt; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-FEED; DENSITY=D-DEFAULT; IX=IX-SWIPE-ACTIONS; IMPL=url-state,app-badge,will-change-sparing,biometric-webauthn; FEEL=Swipe not only path
A0037	m-haptic-meaning	Haptics with meaning	mobile-touch-a11y	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-DEFAULT	IX-UNDO-TOAST	PLATFORM=mobile-phone; PATTERN=m-haptic-meaning; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-DEFAULT; IX=IX-UNDO-TOAST; IMPL=live-region,tap-highlight,will-change-sparing,hover-media; FEEL=Confirm/error/success only
A0038	m-reduce-motion	Respect reduce motion	mobile-touch-a11y	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-DEFAULT	IX-SKELETON-LOAD	PLATFORM=mobile-phone; PATTERN=m-reduce-motion; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-DEFAULT; IX=IX-SKELETON-LOAD; IMPL=error-boundary-ui,autocomplete,biometric-webauthn,dvh-units; FEEL=Essential feedback remains
A0039	m-screen-reader-order	Screen reader order	mobile-touch-a11y	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-DEFAULT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-screen-reader-order; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-DEFAULT; IX=IX-PRIMARY-THUMB; IMPL=hover-media,debounce-search,install-pwa,aria-expanded; FEEL=DOM order matches visual job
A0040	m-focus-visible-mobile	Focus visible when keyboard	mobile-touch-a11y	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-DEFAULT	IX-KEYBOARD-SHORTCUTS	PLATFORM=mobile-phone; PATTERN=m-focus-visible-mobile; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-DEFAULT; IX=IX-KEYBOARD-SHORTCUTS; IMPL=safe-area-css,network-information,autocomplete,bottom-nav-fixed; FEEL=External keyboard / a11y
A0041	m-list-dense	Dense mobile list	mobile-content-patterns	mobile-phone	NAV-STACK-PUSH	SH-PHONE-FEED	D-DEFAULT	IX-INFINITE-SCROLL	PLATFORM=mobile-phone; PATTERN=m-list-dense; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-FEED; DENSITY=D-DEFAULT; IX=IX-INFINITE-SCROLL; IMPL=file-capture,biometric-webauthn,will-change-sparing,safe-area-css; FEEL=One primary line + meta
A0042	m-list-media	Media list rows	mobile-content-patterns	mobile-phone	NAV-STACK-PUSH	SH-PHONE-FEED	D-DEFAULT	IX-INFINITE-SCROLL	PLATFORM=mobile-phone; PATTERN=m-list-media; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-FEED; DENSITY=D-DEFAULT; IX=IX-INFINITE-SCROLL; IMPL=safe-area-css,vibrate-careful,file-capture,url-state; FEEL=Thumb + title + meta
A0043	m-cards-scroll	Card vertical stack	mobile-content-patterns	mobile-phone	NAV-STACK-PUSH	SH-PHONE-FEED	D-COMFORTABLE	IX-INFINITE-SCROLL	PLATFORM=mobile-phone; PATTERN=m-cards-scroll; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-FEED; DENSITY=D-COMFORTABLE; IX=IX-INFINITE-SCROLL; IMPL=csrf-safe,app-badge,install-pwa,will-change-sparing; FEEL=Scannable cards
A0044	m-grid-2col	2-column grid	mobile-content-patterns	mobile-phone	NAV-STACK-PUSH	SH-PHONE-FEED	D-DEFAULT	IX-INFINITE-SCROLL	PLATFORM=mobile-phone; PATTERN=m-grid-2col; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-FEED; DENSITY=D-DEFAULT; IX=IX-INFINITE-SCROLL; IMPL=biometric-webauthn,history-stack,install-pwa,hover-media; FEEL=Gallery/products
A0045	m-hero-then-list	Hero then list	mobile-content-patterns	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-DEFAULT	IX-EMPTY-CTA	PLATFORM=mobile-phone; PATTERN=m-hero-then-list; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-DEFAULT; IX=IX-EMPTY-CTA; IMPL=sticky-footer-cta,vibrate-careful,scroll-padding,service-worker-offline; FEEL=Context then inventory
A0046	m-timeline-vertical	Vertical timeline	mobile-content-patterns	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-DEFAULT	IX-INFINITE-SCROLL	PLATFORM=mobile-phone; PATTERN=m-timeline-vertical; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-DEFAULT; IX=IX-INFINITE-SCROLL; IMPL=app-badge,debounce-search,file-capture,install-pwa; FEEL=Activity history
A0047	m-stepper-progress	Stepper progress	mobile-content-patterns	mobile-phone	NAV-WIZARD	SH-PHONE-STACK	D-COMFORTABLE	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-stepper-progress; NAV=NAV-WIZARD; SHELL=SH-PHONE-STACK; DENSITY=D-COMFORTABLE; IX=IX-PRIMARY-THUMB; IMPL=coarse-pointer,file-capture,scroll-padding,intersection-infinite; FEEL=Show step n of m
A0048	m-form-one-column	One-column form	mobile-content-patterns	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-TOUCH-COMFORT	IX-FORM-SECTIONED	PLATFORM=mobile-phone; PATTERN=m-form-one-column; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-TOUCH-COMFORT; IX=IX-FORM-SECTIONED; IMPL=overscroll,optimistic-ui,coarse-pointer,viewport-meta; FEEL=Labels above fields
A0049	m-form-multipage	Multi-page form	mobile-content-patterns	mobile-phone	NAV-WIZARD	SH-PHONE-STACK	D-DEFAULT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-form-multipage; NAV=NAV-WIZARD; SHELL=SH-PHONE-STACK; DENSITY=D-DEFAULT; IX=IX-PRIMARY-THUMB; IMPL=pointer-events,viewport-meta,virtual-list,file-capture; FEEL=Save draft between pages
A0050	m-search-results	Search results mobile	mobile-content-patterns	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-DEFAULT	IX-SEARCH-FIRST	PLATFORM=mobile-phone; PATTERN=m-search-results; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-DEFAULT; IX=IX-SEARCH-FIRST; IMPL=app-badge,aria-expanded,content-visibility,optimistic-ui; FEEL=Query sticky + results
A0051	m-empty-first-run	First-run empty	mobile-content-patterns	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-COMFORTABLE	IX-EMPTY-CTA	PLATFORM=mobile-phone; PATTERN=m-empty-first-run; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-COMFORTABLE; IX=IX-EMPTY-CTA; IMPL=focus-visible,debounce-search,safe-area-css,vibrate-careful; FEEL=Education + CTA
A0052	m-error-fullpage	Full-page error	mobile-content-patterns	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-DEFAULT	IX-EMPTY-CTA	PLATFORM=mobile-phone; PATTERN=m-error-fullpage; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-DEFAULT; IX=IX-EMPTY-CTA; IMPL=touch-action,overscroll,autocomplete,matchmedia; FEEL=Retry + support
A0053	m-permission-preface	Permission preface	mobile-content-patterns	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-COMFORTABLE	IX-PERMISSION-RATIONALE	PLATFORM=mobile-phone; PATTERN=m-permission-preface; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-COMFORTABLE; IX=IX-PERMISSION-RATIONALE; IMPL=abort-controller,inputmode,skeleton-css,viewport-meta; FEEL=Value prop before OS dialog
A0054	m-push-pref-center	Notification prefs	mobile-content-patterns	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-DEFAULT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-push-pref-center; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-DEFAULT; IX=IX-PRIMARY-THUMB; IMPL=content-visibility,live-region,autocomplete,prefers-reduced-motion; FEEL=Granular, not all-or-nothing
A0055	m-media-fullscreen	Fullscreen media	mobile-content-patterns	mobile-phone	NAV-NONE-FOCUS	SH-PHONE-CANVAS	D-DEFAULT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-media-fullscreen; NAV=NAV-NONE-FOCUS; SHELL=SH-PHONE-CANVAS; DENSITY=D-DEFAULT; IX=IX-PRIMARY-THUMB; IMPL=dvh-units,pointer-events,coarse-pointer,matchmedia; FEEL=Swipe dismiss, chrome fade
A0056	d-rail-main	Icon rail + main	desktop-structure	desktop-web	NAV-SIDE-RAIL	SH-DESK-RAIL-MAIN	D-DEFAULT	IX-KEYBOARD-SHORTCUTS	PLATFORM=desktop-web; PATTERN=d-rail-main; NAV=NAV-SIDE-RAIL; SHELL=SH-DESK-RAIL-MAIN; DENSITY=D-DEFAULT; IX=IX-KEYBOARD-SHORTCUTS; IMPL=focus-trap,container-queries,virtual-list,focus-visible; FEEL=Primary desktop shell
A0057	d-rail-labels	Rail with labels	desktop-structure	desktop-web	NAV-SIDE-RAIL	SH-DESK-RAIL-MAIN	D-DEFAULT	IX-KEYBOARD-SHORTCUTS	PLATFORM=desktop-web; PATTERN=d-rail-labels; NAV=NAV-SIDE-RAIL; SHELL=SH-DESK-RAIL-MAIN; DENSITY=D-DEFAULT; IX=IX-KEYBOARD-SHORTCUTS; IMPL=prefers-reduced-motion,optimistic-ui,skeleton-css,form-novalidate; FEEL=Discoverability > icons-only
A0058	d-rail-main-inspector	Rail + main + inspector	desktop-structure	desktop-web	NAV-SIDE-RAIL	SH-DESK-RAIL-MAIN-INSP	D-COMPACT	IX-KEYBOARD-SHORTCUTS	PLATFORM=desktop-web; PATTERN=d-rail-main-inspector; NAV=NAV-SIDE-RAIL; SHELL=SH-DESK-RAIL-MAIN-INSP; DENSITY=D-COMPACT; IX=IX-KEYBOARD-SHORTCUTS; IMPL=drag-drop-desktop,dialog-element,optimistic-ui,popover-api; FEEL=Selection details; not idle triple
A0059	d-master-detail	Master-detail	desktop-structure	desktop-web	NAV-MASTER-DETAIL	SH-TABLET-SPLIT	D-DEFAULT	IX-KEYBOARD-SHORTCUTS	PLATFORM=desktop-web; PATTERN=d-master-detail; NAV=NAV-MASTER-DETAIL; SHELL=SH-TABLET-SPLIT; DENSITY=D-DEFAULT; IX=IX-KEYBOARD-SHORTCUTS; IMPL=aria-expanded,virtual-list,roving-tabindex,csrf-safe; FEEL=List drives detail
