style_id	family	title	feel	type_era	control	material_hint	a11y_watch	notes
romantic-academia	internet-aesthetic	Romantic Academia	soft scholarly florals	TY-OLDSTYLE-SERIF	ink-underline	vellum	soft	internet
goblincore	internet-aesthetic	Goblincore	shiny trash nature hoard	TY-SYSTEM-RAW	chunk-border	moss-pebble	earthy contrast	internet
fairycore	internet-aesthetic	Fairycore	ethereal glitter forest soft	TY-SCRIPT-SPARSE	pill	dew-forest	glitter not body	internet
angelcore	internet-aesthetic	Angelcore	soft white gold ethereal	TY-DIDONE-LUX	pill	cloud-gold	white-on-white risk	internet
devilcore	internet-aesthetic	Devilcore	red black occult drama	TY-DISPLAY-EXTREME	sharp-0	black-red	red on black AA	internet
witchcore	internet-aesthetic	Witchcore	herbs candles mystic dark	TY-OLDSTYLE-SERIF	ink-underline	herb-candle	dark contrast	internet
cottagegoth	internet-aesthetic	Cottagegoth	pastoral gothic hybrid	TY-OLDSTYLE-SERIF	chunk-border	dark-linen	hybrid	internet
grandmacore	internet-aesthetic	Grandmacore	doilies knits cozy vintage	TY-OLDSTYLE-SERIF	soft-rect	doily-knit	pattern contrast	internet
weirdcore	internet-aesthetic	Weirdcore	liminal uncanny low-fi	TY-SYSTEM-RAW	sharp-0	jpeg-artifact	uncanny still usable	internet
traumacore	internet-aesthetic	Traumacore	glitch diary sensitive	TY-SYSTEM-RAW	ink-underline	diary	careful content; contrast	internet-sensitive
dreamcore	internet-aesthetic	Dreamcore	soft surreal dream logic	TY-ROUNDED	pill	fog-pastel	fog contrast	internet
kidcore	internet-aesthetic	Kidcore	primary toys loud play	TY-ROUNDED	pill	toy-plastic	loud but clear	internet
babycore	internet-aesthetic	Babycore	pastel soft infant cute	TY-ROUNDED	pill	pastel-soft	pastel AA	internet
animecore	internet-aesthetic	Animecore	anime screencap energy	TY-DISPLAY-EXTREME	pill	anime-cel	not unreadable sakuga	internet
kawaii	internet-aesthetic	Kawaii	cute pastel rounded JP	TY-ROUNDED	pill	pastel-plastic	cute+legible	JP culture
yami-kawaii	internet-aesthetic	Yami Kawaii	cute dark medical twist	TY-ROUNDED	pill	pastel-menace	sensitive motifs careful	JP
gurokawaii	internet-aesthetic	Gurokawa	cute grotesque	TY-MIXED-HIGH-CONTRAST	chunk-border	cute-horror	content care	JP
pastel-goth	internet-aesthetic	Pastel Goth	pastel + black occult	TY-DISPLAY-EXTREME	chunk-border	pastel-black	contrast	internet
health-goth	internet-aesthetic	Health Goth	athletic black techwear	TY-INDUSTRIAL-COND	sharp-0	techwear-black	dark AA	internet
normcore	internet-aesthetic	Normcore	aggressively ordinary	TY-SYSTEM-RAW	soft-rect	mall-basic	ordinary not low contrast	internet
balletcore	internet-aesthetic	Balletcore	soft pink tulle poise	TY-DIDONE-LUX	pill	tulle-pink	pink contrast	internet
coquette	internet-aesthetic	Coquette	bows lace hyper-femme	TY-SCRIPT-SPARSE	pill	lace-pink	decoration secondary	internet
blokecore	internet-aesthetic	Blokecore	football kits terrace energy	TY-INDUSTRIAL-COND	sharp-0	kit-stripes	stripe text careful	internet
gorpcore	internet-aesthetic	Gorpcore	outdoor tech fleece trail	TY-HUMANIST	chunk-border	goretex	utility	internet
coastal-grandmother	internet-aesthetic	Coastal Grandmother	linen sea calm wealthy calm	TY-HUMANIST	soft-rect	linen-sea	beige contrast	internet
clean-girl	internet-aesthetic	Clean Girl	minimal sleek neutral beauty	TY-GROTESK-SOFT	pill	neutral-beauty	beige AA	internet
old-money	internet-aesthetic	Old Money	heritage quiet wealth	TY-TRANSITIONAL-SERIF	ink-underline	navy-cream	restraint	internet
new-money	internet-aesthetic	New Money	loud luxury logos shine	TY-DIDONE-LUX	filled-block	chrome-gold	shine not body	internet
dark-feminine	internet-aesthetic	Dark Feminine	glamour power black red	TY-DIDONE-LUX	sharp-0	black-velvet	dark glamour AA	internet
soft-boy	internet-aesthetic	Soft Boy	pastel indie soft masc	TY-HUMANIST	soft-rect	pastel-denim	soft	internet
egirl-eboy	internet-aesthetic	E-girl / E-boy	alt platform indie dark cute	TY-MIXED-HIGH-CONTRAST	chunk-border	alt-platform	contrast	internet
scene-emo	internet-aesthetic	Scene / Emo revival	sharp hair colours myspace	TY-DISPLAY-EXTREME	chunk-border	neon-black	myspace energy	internet
y2k-cyber	internet-aesthetic	Y2K Cyber	futuristic chrome early web	TY-GEOMETRIC	pill	chrome-ice	gloss	internet
frutiger-aero	internet-aesthetic	Frutiger Aero	glossy nature tech optimistic 2000s	TY-HUMANIST	pill	aqua-sky	gloss+nature	internet revival
frutiger-metro	internet-aesthetic	Frutiger Metro	metro icons soft 2010s	TY-GROTESK-SOFT	soft-rect	metro-icon	icon clarity	internet
heliotrope	internet-aesthetic	Heliotrope / Aero cousins	bright sky water bubbles	TY-ROUNDED	pill	sky-water	bright AA	internet
cassette-futurism	internet-aesthetic	Cassette Futurism	chunky buttons CRT no touch glass	TY-SYSTEM-RAW	chunk-border	crt-plastic	chunky targets good	internet
sovietwave	internet-aesthetic	Sovietwave	socialist modern nostalgia	TY-GROTESQUE	sharp-0	concrete-red	poster modern	internet
laborwave	internet-aesthetic	Laborwave	worker poster vapor hybrid	TY-INDUSTRIAL-COND	chunk-border	poster-red	poster	internet
dinosauriac	internet-aesthetic	Dinosauriac	museum fossil educational	TY-SLAB	chunk-border	fossil-sand	edu clear	internet
tropicalcore	internet-aesthetic	Tropicalcore	lush fruit humid bright	TY-DISPLAY-EXTREME	pill	fruit-leaf	bright	internet
desertcore	internet-aesthetic	Desertcore	arid sun adobe dust	TY-HUMANIST	sharp-0	sandstone	sun glare text	internet
arcticcore	internet-aesthetic	Arcticcore	ice blue sparse cold	TY-GROTESK-SOFT	sharp-0	ice-white	white-on-ice risk	internet
ocean-core	internet-aesthetic	Ocean core	deep sea foam maritime	TY-HUMANIST	chunk-border	sea-glass	blue contrast	internet
forestcore	internet-aesthetic	Forestcore	deep green moss canopy	TY-OLDSTYLE-SERIF	ink-underline	moss	dark green AA	internet
citycore	internet-aesthetic	Citycore	urban night dense signage	TY-INDUSTRIAL-COND	sharp-0	neon-street	signage hierarchy	internet
liminal-space	internet-aesthetic	Liminal Space	empty transitional eerie	TY-SYSTEM-RAW	sharp-0	fluorescent-empty	eerie still usable	internet
backrooms	internet-aesthetic	Backrooms	yellow rooms endless fluorescent	TY-SYSTEM-RAW	sharp-0	yellow-room	yellow bg text dark	internet
poolcore	internet-aesthetic	Poolcore	empty pools tile water echo	TY-GEOMETRIC	sharp-0	pool-tile	tile contrast	internet
abandoned-mall	internet-aesthetic	Abandoned Mallwave	dead mall nostalgia	TY-GROTESK-SOFT	soft-rect	mall-tile	faded contrast boost	internet
vapor-noir	internet-aesthetic	Vapor Noir	vaporwave + noir	TY-DISPLAY-EXTREME	sharp-0	neon-noir	dark neon	hybrid
danish-pastel	internet-aesthetic	Danish Pastel	soft scandi pastel blocks	TY-ROUNDED	soft-rect	pastel-block	pastel AA	internet
mob-wife	internet-aesthetic	Mob Wife Aesthetic	fur glam animal print drama	TY-DIDONE-LUX	filled-block	fur-gold	drama hierarchy	internet
tomato-girl	internet-aesthetic	Tomato Girl Summer	mediterranean red green sun	TY-HUMANIST	soft-rect	tomato-olive	warm contrast	internet
blueberry-girl	internet-aesthetic	Blueberry Girl	cool blue soft summer	TY-HUMANIST	pill	blueberry	blue AA	internet
office-siren	internet-aesthetic	Office Siren	Y2K corporate glam	TY-GROTESK-SOFT	soft-rect	corp-gloss	gloss	internet
ballet-aesthetic	internet-aesthetic	Ballet Aesthetic UI	rehearsal sparse soft discipline	TY-DIDONE-LUX	ink-underline	studio-wood	soft	internet
punk-flyer	music-subculture	Punk Flyer	ransom type xerox anger	TY-MIXED-HIGH-CONTRAST	chunk-border	xerox	readable anger	punk
post-punk	music-subculture	Post-Punk	stark mono angular	TY-GROTESQUE	sharp-0	black-white	stark	music
goth-romantic	music-subculture	Goth Romantic	black lace Victorian dark	TY-OLDSTYLE-SERIF	ink-underline	black-lace	dark AA	goth
industrial-music	music-subculture	Industrial	cold machine harsh	TY-MONO-DATA	sharp-0	steel-rust	harsh contrast good	music
techno-warehouse	music-subculture	Techno Warehouse	dark strobe minimal type	TY-GROTESQUE	sharp-0	warehouse-black	no real strobe	music
rave-flyer-90s	music-subculture	90s Rave Flyer	acid colours chaos type	TY-DISPLAY-EXTREME	chunk-border	acid-print	chaos hierarchy	music
disco-studio54	music-subculture	Disco Glam	mirrorball gold night	TY-DIDONE-LUX	pill	mirror-gold	shine	music
hip-hop-gold-era	music-subculture	Hip-Hop Gold Era	bold type brick city	TY-INDUSTRIAL-COND	chunk-border	brick-gold	bold	music
graffiti-wildstyle	music-subculture	Graffiti Wildstyle	letter complexity street	TY-DISPLAY-EXTREME	chunk-border	spray-brick	body not wildstyle	street
skater-zine	music-subculture	Skater Zine	photo crash diy type	TY-MIXED-HIGH-CONTRAST	chunk-border	polaroid-grit	diy	skate
surf-poster	music-subculture	Surf Poster	wave sun beach type	TY-DISPLAY-EXTREME	pill	wave-sun	bright	surf
metal-album	music-subculture	Metal Album	blackletter chrome dark	TY-BLACKLETTER-SPARSE	sharp-0	chrome-black	body readable	metal
jazz-blue-note	music-subculture	Blue Note Jazz	duotone photo bold type	TY-GROTESQUE	sharp-0	blue-note	duotone classic	jazz
folk-revival	music-subculture	Folk Revival	woodcut acoustic warm	TY-OLDSTYLE-SERIF	ink-underline	woodcut	warm	folk
country-western	music-subculture	Country Western	barnwood rope spur	TY-SLAB	ticket	barn-wood	western not comic	country
reggae-dub	music-subculture	Reggae / Dub	roots colours vinyl warm	TY-HUMANIST	chunk-border	vinyl-warm	Rasta colours careful meaning	reggae
k-pop-idol	music-subculture	K-pop Idol	high gloss idol photocard	TY-ROUNDED	pill	gloss-pastel	photocard grid	K-pop
j-rock-visual-kei	music-subculture	Visual Kei	dramatic makeup theatrical	TY-DISPLAY-EXTREME	sharp-0	stage-black	drama	J-rock
city-pop	music-subculture	City Pop	80s JP soft luxury leisure	TY-GEOMETRIC	pill	city-dusk	soft luxury	JP music
lofi-beats	music-subculture	Lo-fi Beats	study girl vinyl dust soft	TY-HUMANIST	soft-rect	vinyl-dust	soft contrast	music meme
fintech-trust	industry	Fintech Trust	calm numbers serious blue	TY-GROTESK-SOFT	soft-rect	cool-grey	numbers tabular	
fintech-crypto-neon	industry	Crypto Neon	dark neon charts hype	TY-MONO-DATA	sharp-0	neon-dark	hype not illegible	
banking-classic	industry	Classic Banking	heritage navy serif trust	TY-TRANSITIONAL-SERIF	ink-underline	navy-cream	trust	
insurance-plain	industry	Insurance Plain Language	clear forms low drama	TY-HUMANIST	soft-rect	plain-white	forms labels	
health-clinical	industry	Clinical Health	sterile calm precise	TY-HUMANIST	soft-rect	clinic-white	status not colour-only	
health-wellness	industry	Wellness Soft	calm mint breathy	TY-ROUNDED	pill	mint-sand	pastel AA	
pharma-pack	industry	Pharma Packaging	regulated clear hierarchy	TY-HUMANIST	sharp-0	pack-white	legibility first	
edu-primary	industry	Primary Education	large type playful clear	TY-ROUNDED	pill	school-primary	targets large	
edu-university	industry	University Academic	crest scholarship calm	TY-OLDSTYLE-SERIF	ink-underline	crest-paper	academic	
gov-uk-like	industry	Civic GOV-like	plain language black yellow	TY-HUMANIST	sharp-0	gov-yellow	focus strong	
gov-us-formal	industry	US Federal Formal	formal seal structured	TY-TRANSITIONAL-SERIF	sharp-0	seal-blue	formal	
legal-chambers	industry	Legal Chambers	dense text authority	TY-OLDSTYLE-SERIF	ink-underline	law-paper	long text measure	
real-estate-luxury	industry	Luxury Real Estate	photo-first sparse type	TY-DIDONE-LUX	ink-underline	photo-arch	photo	
real-estate-portal	industry	Property Portal	filters cards map hybrid	TY-GROTESK-SOFT	soft-rect	portal-grey	filters	
travel-ota	industry	OTA Travel	deals cards trust badges careful	TY-GROTESK-SOFT	pill	sky-deal	avoid badge spam	
airline	industry	Airline	wayfinding seats status	TY-HUMANIST	sharp-0	airline-blue	status clear	
hotel-boutique	industry	Boutique Hotel	tactile local material	TY-SERIF-TEXT	ink-underline	local-material	local	
restaurant-fine	industry	Fine Dining	menu quiet luxury	TY-DIDONE-LUX	ink-underline	menu-paper	menu hierarchy	
restaurant-diner	industry	Diner	chrome neon menu board	TY-DISPLAY-EXTREME	chunk-border	diner-chrome	menu board	
cafe-third-wave	industry	Third Wave Café	craft minimal origin story	TY-HUMANIST	soft-rect	craft-paper	origin	
qsr-fast	industry	Quick Service	speed menu big calories	TY-INDUSTRIAL-COND	filled-block	qsr-bright	speed	
grocery	industry	Grocery Retail	aisles promos dense	TY-HUMANIST	soft-rect	retail-white	promo not chaos	
fashion-luxury	industry	Luxury Fashion	campaign image type quiet	TY-DIDONE-LUX	ink-underline	campaign-photo	image	
fashion-street	industry	Streetwear	drop hype bold type	TY-INDUSTRIAL-COND	sharp-0	drop-black	hype	
sports-retail	industry	Sports Retail	energy motion athletes	TY-INDUSTRIAL-COND	sharp-0	volt-black	energy	
sports-broadcast	industry	Sports Broadcast	score bug live urgency	TY-INDUSTRIAL-COND	sharp-0	broadcast-black	live	
gaming-aaa	industry	AAA Gaming HUD	immersive diegetic HUD	TY-INDUSTRIAL-COND	sharp-0	hud-metal	HUD contrast	
gaming-cozy	industry	Cozy Game	soft stickers warm	TY-ROUNDED	pill	cozy-wool	soft	
gaming-retro	industry	Retro Game UI	pixel frames limited colour	TY-PIXEL	sharp-0	pixel-crt	pixel readable	
dev-tool	industry	Developer Tool	dense mono panels	TY-MONO-DATA	sharp-0	terminal-dark	not triple AI desk default	
design-tool	industry	Design Tool	canvas infinite artboard	TY-GROTESK-SOFT	soft-rect	artboard	canvas	
music-daw	industry	DAW / Music Tool	timeline tracks transport	TY-SYSTEM-RAW	sharp-0	daw-dark	timeline	
photo-editor	industry	Photo Editor	preview first tools dock	TY-GROTESK-SOFT	soft-rect	preview-stage	preview	
maps-nav	industry	Maps Navigation	map is UI chrome minimal	TY-HUMANIST	pill	map-stage	map contrast	
iot-dashboard	industry	IoT Dashboard	device status tiles	TY-GROTESK-SOFT	soft-rect	device-tile	status	
industrial-scada	industry	SCADA Industrial	mimic panels alarms	TY-MONO-DATA	sharp-0	panel-grey	alarm not colour-only	
lab-lims	industry	Lab LIMS	samples chain of custody	TY-MONO-DATA	sharp-0	lab-laminate	sample IDs	
logistics	industry	Logistics Ops	manifests lanes ETAs	TY-INDUSTRIAL-COND	chunk-border	warehouse	ETA clear	
warehouse-wms	industry	Warehouse WMS	bins scans rugged	TY-INDUSTRIAL-COND	chunk-border	rugged-handheld	large targets	
maritime-ops	industry	Maritime Ops	tide berths signals	TY-HUMANIST	chunk-border	navy-signal	signal colours meaningful	
aviation-ops	industry	Aviation Ops	gates turns safety	TY-HUMANIST	sharp-0	aviation-grey	safety	
