combo_id	style_id	title	family	skeleton	type_era	control	material_hint	colour_strat	chrome	density_hint	brief_lock
C0011	streamline-moderne	Streamline Moderne	historical-movement	SK-TERMINAL	TY-GEOMETRIC	pill	chrome-metal	CS-EARTH	CH-DENSE	app	STYLE_ID=streamline-moderne; SKELETON=SK-TERMINAL; TYPE_ERA=TY-GEOMETRIC; CONTROL=pill; MATERIAL=chrome-metal; COLOUR_STRAT=CS-EARTH; CHROME=CH-DENSE; FEEL=aerodynamic curves chrome speed
C0012	swiss-international	Swiss International	historical-movement	SK-POSTER	TY-GROTESQUE	ink-underline	paper-ink	CS-OCEAN	CH-IMMERSIVE	marketing	STYLE_ID=swiss-international; SKELETON=SK-POSTER; TYPE_ERA=TY-GROTESQUE; CONTROL=ink-underline; MATERIAL=paper-ink; COLOUR_STRAT=CS-OCEAN; CHROME=CH-IMMERSIVE; FEEL=grid objectivity quiet type
C0013	international-style-arch	International Style Architecture	historical-movement	SK-BOTTOM-SHEET	TY-GROTESK-SOFT	sharp-0	glass-frost	CS-NEON-ON-DARK	CH-NONE	mobile	STYLE_ID=international-style-arch; SKELETON=SK-BOTTOM-SHEET; TYPE_ERA=TY-GROTESK-SOFT; CONTROL=sharp-0; MATERIAL=glass-frost; COLOUR_STRAT=CS-NEON-ON-DARK; CHROME=CH-NONE; FEEL=glass box rational facade
C0014	mid-century-modern	Mid-Century Modern	historical-movement	SK-TAB-DECK	TY-HUMANIST	soft-rect	teak	CS-DESAT-CORP	CH-MIN	mobile	STYLE_ID=mid-century-modern; SKELETON=SK-TAB-DECK; TYPE_ERA=TY-HUMANIST; CONTROL=soft-rect; MATERIAL=teak; COLOUR_STRAT=CS-DESAT-CORP; CHROME=CH-MIN; FEEL=warm modern atomic optimism
C0015	scandinavian-modern	Scandinavian Modern	historical-movement	SK-WIZARD-STEPS	TY-HUMANIST	soft-rect	birch	CS-HIGH-KEY	CH-STANDARD	app	STYLE_ID=scandinavian-modern; SKELETON=SK-WIZARD-STEPS; TYPE_ERA=TY-HUMANIST; CONTROL=soft-rect; MATERIAL=birch; COLOUR_STRAT=CS-HIGH-KEY; CHROME=CH-STANDARD; FEEL=light wood honest air
C0016	pop-art	Pop Art	historical-movement	SK-SPLIT-INSPECTOR	TY-DISPLAY-EXTREME	sharp-0	halftone-print	CS-LOW-KEY	CH-APP	app	STYLE_ID=pop-art; SKELETON=SK-SPLIT-INSPECTOR; TYPE_ERA=TY-DISPLAY-EXTREME; CONTROL=sharp-0; MATERIAL=halftone-print; COLOUR_STRAT=CS-LOW-KEY; CHROME=CH-APP; FEEL=halftone punch everyday icons
C0017	op-art	Op Art	historical-movement	SK-DASH-METRIC	TY-GEOMETRIC	sharp-0	high-contrast	CS-SEPIA	CH-DENSE	app	STYLE_ID=op-art; SKELETON=SK-DASH-METRIC; TYPE_ERA=TY-GEOMETRIC; CONTROL=sharp-0; MATERIAL=high-contrast; COLOUR_STRAT=CS-SEPIA; CHROME=CH-DENSE; FEEL=optical vibration geometry
C0018	psychedelic	Psychedelic	historical-movement	SK-GALLERY-INDEX	TY-DISPLAY-EXTREME	chunk-border	neon-tube	CS-INVERTED	CH-IMMERSIVE	marketing	STYLE_ID=psychedelic; SKELETON=SK-GALLERY-INDEX; TYPE_ERA=TY-DISPLAY-EXTREME; CONTROL=chunk-border; MATERIAL=neon-tube; COLOUR_STRAT=CS-INVERTED; CHROME=CH-IMMERSIVE; FEEL=vibrating type dense poster
C0019	space-age	Space Age	historical-movement	SK-ZINE-COLLAGE	TY-GEOMETRIC	pill	astronaut-white	CS-REGIONAL-FLAG	CH-NONE	marketing	STYLE_ID=space-age; SKELETON=SK-ZINE-COLLAGE; TYPE_ERA=TY-GEOMETRIC; CONTROL=pill; MATERIAL=astronaut-white; COLOUR_STRAT=CS-REGIONAL-FLAG; CHROME=CH-NONE; FEEL=atomic age optimism plastics
C0020	minimalism	Minimalism	historical-movement	SK-BRUTAL-BLOCKS	TY-SANS-ONLY-TIGHT	ink-underline	white-void	CS-BRAND-LOCKUP	CH-MIN	any	STYLE_ID=minimalism; SKELETON=SK-BRUTAL-BLOCKS; TYPE_ERA=TY-SANS-ONLY-TIGHT; CONTROL=ink-underline; MATERIAL=white-void; COLOUR_STRAT=CS-BRAND-LOCKUP; CHROME=CH-MIN; FEEL=less almost nothing
C0021	postmodern-graphic	Postmodern Graphic	historical-movement	SK-RAIL-DOCK	TY-MIXED-HIGH-CONTRAST	offset-shadow	terrazzo	CS-MONO-PLUS	CH-STANDARD	app	STYLE_ID=postmodern-graphic; SKELETON=SK-RAIL-DOCK; TYPE_ERA=TY-MIXED-HIGH-CONTRAST; CONTROL=offset-shadow; MATERIAL=terrazzo; COLOUR_STRAT=CS-MONO-PLUS; CHROME=CH-STANDARD; FEEL=rule-break pastiche irony
C0022	memphis	Memphis	historical-movement	SK-CENTER-STAGE	TY-GEOMETRIC	chunk-border	formica	CS-DUOTONE	CH-APP	marketing	STYLE_ID=memphis; SKELETON=SK-CENTER-STAGE; TYPE_ERA=TY-GEOMETRIC; CONTROL=chunk-border; MATERIAL=formica; COLOUR_STRAT=CS-DUOTONE; CHROME=CH-APP; FEEL=playful clash laminate shapes
C0023	deconstructivism	Deconstructivism	historical-movement	SK-NEWS-RIVER	TY-MIXED-HIGH-CONTRAST	sharp-0	scaffold	CS-PRIMARY-TRIO	CH-DENSE	app	STYLE_ID=deconstructivism; SKELETON=SK-NEWS-RIVER; TYPE_ERA=TY-MIXED-HIGH-CONTRAST; CONTROL=sharp-0; MATERIAL=scaffold; COLOUR_STRAT=CS-PRIMARY-TRIO; CHROME=CH-DENSE; FEEL=fragmented unstable structure
C0024	grunge-print	Grunge Print	historical-movement	SK-CALENDAR-SPINE	TY-MIXED-HIGH-CONTRAST	chunk-border	toner-dirt	CS-TONAL	CH-IMMERSIVE	app	STYLE_ID=grunge-print; SKELETON=SK-CALENDAR-SPINE; TYPE_ERA=TY-MIXED-HIGH-CONTRAST; CONTROL=chunk-border; MATERIAL=toner-dirt; COLOUR_STRAT=CS-TONAL; CHROME=CH-IMMERSIVE; FEEL=distressed layered dirty type
C0025	y2k	Y2K	historical-movement	SK-MASONRY	TY-ROUNDED	pill	iridescent-film	CS-PAPER-INK	CH-NONE	marketing	STYLE_ID=y2k; SKELETON=SK-MASONRY; TYPE_ERA=TY-ROUNDED; CONTROL=pill; MATERIAL=iridescent-film; COLOUR_STRAT=CS-PAPER-INK; CHROME=CH-NONE; FEEL=gloss bubbles chrome stars
C0026	web-safe-classic	Web 1.0 Classic	historical-movement	SK-SPLIT-DIAGONAL	TY-SYSTEM-RAW	ink-underline	lcd-blue	CS-DARK-STAGE	CH-MIN	marketing	STYLE_ID=web-safe-classic; SKELETON=SK-SPLIT-DIAGONAL; TYPE_ERA=TY-SYSTEM-RAW; CONTROL=ink-underline; MATERIAL=lcd-blue; COLOUR_STRAT=CS-DARK-STAGE; CHROME=CH-MIN; FEEL=blue links tables honest
C0027	web-2.0-gloss	Web 2.0 Glossy	historical-movement	SK-FRAME-IN-FRAME	TY-GROTESK-SOFT	pill	bubble-plastic	CS-PASTEL-POP	CH-STANDARD	marketing	STYLE_ID=web-2.0-gloss; SKELETON=SK-FRAME-IN-FRAME; TYPE_ERA=TY-GROTESK-SOFT; CONTROL=pill; MATERIAL=bubble-plastic; COLOUR_STRAT=CS-PASTEL-POP; CHROME=CH-STANDARD; FEEL=bevel badges gradients
C0028	skeuomorph-ios6	Classic Skeuomorphism	historical-movement	SK-SIDE-SCROLL	TY-HUMANIST	soft-rect	leather-bound	CS-SIGNAL	CH-APP	marketing	STYLE_ID=skeuomorph-ios6; SKELETON=SK-SIDE-SCROLL; TYPE_ERA=TY-HUMANIST; CONTROL=soft-rect; MATERIAL=leather-bound; COLOUR_STRAT=CS-SIGNAL; CHROME=CH-APP; FEEL=leather felt stitched realism
C0029	metro-fluent-flat	Metro / flat tiles	historical-movement	SK-FIXED-TOC	TY-GROTESQUE	sharp-0	solid-fill	CS-PHOTO-LED	CH-DENSE	marketing	STYLE_ID=metro-fluent-flat; SKELETON=SK-FIXED-TOC; TYPE_ERA=TY-GROTESQUE; CONTROL=sharp-0; MATERIAL=solid-fill; COLOUR_STRAT=CS-PHOTO-LED; CHROME=CH-DENSE; FEEL=typography-led tile mosaic
C0030	material-design	Material Design	historical-movement	SK-COMMAND-CENTER	TY-HUMANIST	soft-rect	paper-elevation	CS-CMYK-PROCESS	CH-IMMERSIVE	app	STYLE_ID=material-design; SKELETON=SK-COMMAND-CENTER; TYPE_ERA=TY-HUMANIST; CONTROL=soft-rect; MATERIAL=paper-elevation; COLOUR_STRAT=CS-CMYK-PROCESS; CHROME=CH-IMMERSIVE; FEEL=paper layers FAB elevation
C0031	material-you	Material You tonal	historical-movement	SK-INBOX-ZERO	TY-ROUNDED	pill	tonal-surface	CS-EARTH	CH-NONE	app	STYLE_ID=material-you; SKELETON=SK-INBOX-ZERO; TYPE_ERA=TY-ROUNDED; CONTROL=pill; MATERIAL=tonal-surface; COLOUR_STRAT=CS-EARTH; CHROME=CH-NONE; FEEL=dynamic tonal surfaces
C0032	fluent-2	Fluent 2	historical-movement	SK-STUDIO-CANVAS	TY-GROTESK-SOFT	soft-rect	acrylic	CS-OCEAN	CH-MIN	app	STYLE_ID=fluent-2; SKELETON=SK-STUDIO-CANVAS; TYPE_ERA=TY-GROTESK-SOFT; CONTROL=soft-rect; MATERIAL=acrylic; COLOUR_STRAT=CS-OCEAN; CHROME=CH-MIN; FEEL=mica acrylic soft system
C0033	human-interface-apple	Apple HIG clean	historical-movement	SK-COMPARISON	TY-GROTESK-SOFT	soft-rect	system-blur	CS-NEON-ON-DARK	CH-STANDARD	marketing	STYLE_ID=human-interface-apple; SKELETON=SK-COMPARISON; TYPE_ERA=TY-GROTESK-SOFT; CONTROL=soft-rect; MATERIAL=system-blur; COLOUR_STRAT=CS-NEON-ON-DARK; CHROME=CH-STANDARD; FEEL=SF-like clarity large radius
C0034	glassmorphism	Glassmorphism	historical-movement	SK-PRICING-LADDER	TY-GROTESK-SOFT	soft-rect	glass-frost	CS-DESAT-CORP	CH-APP	marketing	STYLE_ID=glassmorphism; SKELETON=SK-PRICING-LADDER; TYPE_ERA=TY-GROTESK-SOFT; CONTROL=soft-rect; MATERIAL=glass-frost; COLOUR_STRAT=CS-DESAT-CORP; CHROME=CH-APP; FEEL=frosted panels on photo
C0035	neumorphism	Neumorphism	historical-movement	SK-MANIFEST-LIST	TY-ROUNDED	soft-rect	soft-clay	CS-HIGH-KEY	CH-DENSE	app	STYLE_ID=neumorphism; SKELETON=SK-MANIFEST-LIST; TYPE_ERA=TY-ROUNDED; CONTROL=soft-rect; MATERIAL=soft-clay; COLOUR_STRAT=CS-HIGH-KEY; CHROME=CH-DENSE; FEEL=soft extruded mono UI
C0036	claymorphism	Claymorphism	historical-movement	SK-SCOREBOARD	TY-ROUNDED	pill	soft-clay	CS-LOW-KEY	CH-IMMERSIVE	app	STYLE_ID=claymorphism; SKELETON=SK-SCOREBOARD; TYPE_ERA=TY-ROUNDED; CONTROL=pill; MATERIAL=soft-clay; COLOUR_STRAT=CS-LOW-KEY; CHROME=CH-IMMERSIVE; FEEL=puffy 3D clay controls
C0037	neo-brutalism	Neo-Brutalism	historical-movement	SK-COCKPIT-STRIP	TY-DISPLAY-EXTREME	chunk-border	solid-fill	CS-SEPIA	CH-NONE	app	STYLE_ID=neo-brutalism; SKELETON=SK-COCKPIT-STRIP; TYPE_ERA=TY-DISPLAY-EXTREME; CONTROL=chunk-border; MATERIAL=solid-fill; COLOUR_STRAT=CS-SEPIA; CHROME=CH-NONE; FEEL=fat borders hard shadow loud
C0038	brutalist-web	Brutalist Web	historical-movement	SK-FOLIO-SPREAD	TY-SYSTEM-RAW	sharp-0	default-browser	CS-INVERTED	CH-MIN	marketing	STYLE_ID=brutalist-web; SKELETON=SK-FOLIO-SPREAD; TYPE_ERA=TY-SYSTEM-RAW; CONTROL=sharp-0; MATERIAL=default-browser; COLOUR_STRAT=CS-INVERTED; CHROME=CH-MIN; FEEL=raw system anti-polish
C0039	soft-brutalism	Soft Brutalism	historical-movement	SK-STAMP-SHEET	TY-GROTESQUE	chunk-border	pastel-pop	CS-REGIONAL-FLAG	CH-STANDARD	marketing	STYLE_ID=soft-brutalism; SKELETON=SK-STAMP-SHEET; TYPE_ERA=TY-GROTESQUE; CONTROL=chunk-border; MATERIAL=pastel-pop; COLOUR_STRAT=CS-REGIONAL-FLAG; CHROME=CH-STANDARD; FEEL=bold structure softer fill
C0040	bento-ui	Bento UI	historical-movement	SK-DOCKED-FAB	TY-GROTESK-SOFT	soft-rect	light-grey-card	CS-BRAND-LOCKUP	CH-APP	mobile	STYLE_ID=bento-ui; SKELETON=SK-DOCKED-FAB; TYPE_ERA=TY-GROTESK-SOFT; CONTROL=soft-rect; MATERIAL=light-grey-card; COLOUR_STRAT=CS-BRAND-LOCKUP; CHROME=CH-APP; FEEL=soft mosaic large tiles
C0041	dark-mode-oled	OLED Dark Product	historical-movement	SK-PEEK-CARDS	TY-GROTESK-SOFT	sharp-0	oled-black	CS-MONO-PLUS	CH-DENSE	mobile	STYLE_ID=dark-mode-oled; SKELETON=SK-PEEK-CARDS; TYPE_ERA=TY-GROTESK-SOFT; CONTROL=sharp-0; MATERIAL=oled-black; COLOUR_STRAT=CS-MONO-PLUS; CHROME=CH-DENSE; FEEL=true black sparse light type
C0042	aurora-mesh	Aurora Mesh Gradient	historical-movement	SK-RADIO-TUNER	TY-GROTESK-SOFT	soft-rect	iridescent-film	CS-DUOTONE	CH-IMMERSIVE	app	STYLE_ID=aurora-mesh; SKELETON=SK-RADIO-TUNER; TYPE_ERA=TY-GROTESK-SOFT; CONTROL=soft-rect; MATERIAL=iridescent-film; COLOUR_STRAT=CS-DUOTONE; CHROME=CH-IMMERSIVE; FEEL=soft mesh atmosphere once
C0043	kinetic-type	Kinetic Typography	historical-movement	SK-FILMSTRIP	TY-DISPLAY-EXTREME	ink-underline	paper-ink	CS-PRIMARY-TRIO	CH-NONE	marketing	STYLE_ID=kinetic-type; SKELETON=SK-FILMSTRIP; TYPE_ERA=TY-DISPLAY-EXTREME; CONTROL=ink-underline; MATERIAL=paper-ink; COLOUR_STRAT=CS-PRIMARY-TRIO; CHROME=CH-NONE; FEEL=motion type first
C0044	isometric-3d	Isometric Illustration UI	historical-movement	SK-ORBIT-META	TY-GROTESK-SOFT	soft-rect	iso-plastic	CS-TONAL	CH-MIN	marketing	STYLE_ID=isometric-3d; SKELETON=SK-ORBIT-META; TYPE_ERA=TY-GROTESK-SOFT; CONTROL=soft-rect; MATERIAL=iso-plastic; COLOUR_STRAT=CS-TONAL; CHROME=CH-MIN; FEEL=3D iso scenes with UI chrome quiet
C0045	maximalism	Maximalism	historical-movement	SK-SPLIT-DEPTH	TY-MIXED-HIGH-CONTRAST	chunk-border	pattern-clash	CS-PAPER-INK	CH-STANDARD	marketing	STYLE_ID=maximalism; SKELETON=SK-SPLIT-DEPTH; TYPE_ERA=TY-MIXED-HIGH-CONTRAST; CONTROL=chunk-border; MATERIAL=pattern-clash; COLOUR_STRAT=CS-PAPER-INK; CHROME=CH-STANDARD; FEEL=more is more layered dense
C0046	quiet-luxury	Quiet Luxury	historical-movement	SK-CHECKOUT-TUNNEL	TY-DIDONE-LUX	ink-underline	stone-silk	CS-DARK-STAGE	CH-APP	marketing	STYLE_ID=quiet-luxury; SKELETON=SK-CHECKOUT-TUNNEL; TYPE_ERA=TY-DIDONE-LUX; CONTROL=ink-underline; MATERIAL=stone-silk; COLOUR_STRAT=CS-DARK-STAGE; CHROME=CH-APP; FEEL=restraint expensive materials
C0047	corporate-memphis	Corporate Memphis	historical-movement	SK-CHAT-THREAD	TY-GROTESK-SOFT	soft-rect	pastel-vector	CS-PASTEL-POP	CH-DENSE	app	STYLE_ID=corporate-memphis; SKELETON=SK-CHAT-THREAD; TYPE_ERA=TY-GROTESK-SOFT; CONTROL=soft-rect; MATERIAL=pastel-vector; COLOUR_STRAT=CS-PASTEL-POP; CHROME=CH-DENSE; FEEL=flat diverse vectors pastel
C0048	anti-corporate-memphis	Anti-Corporate-Memphis	historical-movement	SK-NOTIFICATION-STACK	TY-SERIF-TEXT	sharp-0	photo-led	CS-SIGNAL	CH-IMMERSIVE	mobile	STYLE_ID=anti-corporate-memphis; SKELETON=SK-NOTIFICATION-STACK; TYPE_ERA=TY-SERIF-TEXT; CONTROL=sharp-0; MATERIAL=photo-led; COLOUR_STRAT=CS-SIGNAL; CHROME=CH-IMMERSIVE; FEEL=reject blob people use photo/type
C0049	brutalist-architecture	Brutalist Architecture	architecture	SK-DIRECTORY	TY-GROTESQUE	sharp-0	concrete	CS-PHOTO-LED	CH-NONE	app	STYLE_ID=brutalist-architecture; SKELETON=SK-DIRECTORY; TYPE_ERA=TY-GROTESQUE; CONTROL=sharp-0; MATERIAL=concrete; COLOUR_STRAT=CS-PHOTO-LED; CHROME=CH-NONE; FEEL=concrete mass voids
C0050	gothic-cathedral	Gothic Cathedral	architecture	SK-ATLAS-PLATES	TY-BLACKLETTER-SPARSE	ink-underline	stone-stained-glass	CS-CMYK-PROCESS	CH-MIN	marketing	STYLE_ID=gothic-cathedral; SKELETON=SK-ATLAS-PLATES; TYPE_ERA=TY-BLACKLETTER-SPARSE; CONTROL=ink-underline; MATERIAL=stone-stained-glass; COLOUR_STRAT=CS-CMYK-PROCESS; CHROME=CH-MIN; FEEL=vertical pointed stained light
C0051	baroque-ornate	Baroque Ornate	architecture	SK-HERO-SPLIT	TY-MODERN-SERIF	ticket	gold-leaf	CS-EARTH	CH-STANDARD	marketing	STYLE_ID=baroque-ornate; SKELETON=SK-HERO-SPLIT; TYPE_ERA=TY-MODERN-SERIF; CONTROL=ticket; MATERIAL=gold-leaf; COLOUR_STRAT=CS-EARTH; CHROME=CH-STANDARD; FEEL=ornament drama gold scroll
C0052	rococo-light	Rococo Light	architecture	SK-SINGLE-STICKY	TY-SCRIPT-SPARSE	pill	cream-cotton	CS-OCEAN	CH-APP	marketing	STYLE_ID=rococo-light; SKELETON=SK-SINGLE-STICKY; TYPE_ERA=TY-SCRIPT-SPARSE; CONTROL=pill; MATERIAL=cream-cotton; COLOUR_STRAT=CS-OCEAN; CHROME=CH-APP; FEEL=pastel scroll delicate
C0053	beaux-arts	Beaux-Arts	architecture	SK-EDITORIAL-LONG	TY-TRANSITIONAL-SERIF	sharp-0	marble	CS-NEON-ON-DARK	CH-DENSE	marketing	STYLE_ID=beaux-arts; SKELETON=SK-EDITORIAL-LONG; TYPE_ERA=TY-TRANSITIONAL-SERIF; CONTROL=sharp-0; MATERIAL=marble; COLOUR_STRAT=CS-NEON-ON-DARK; CHROME=CH-DENSE; FEEL=formal classical grandeur
C0054	art-nouveau-arch	Art Nouveau Architecture	architecture	SK-BENTO	TY-DISPLAY-EXTREME	ink-underline	wrought-iron	CS-DESAT-CORP	CH-IMMERSIVE	marketing	STYLE_ID=art-nouveau-arch; SKELETON=SK-BENTO; TYPE_ERA=TY-DISPLAY-EXTREME; CONTROL=ink-underline; MATERIAL=wrought-iron; COLOUR_STRAT=CS-DESAT-CORP; CHROME=CH-IMMERSIVE; FEEL=whiplash iron botanical facade
C0055	googie	Googie	architecture	SK-TABLE-FIRST	TY-DISPLAY-EXTREME	sharp-0	motel-neon	CS-HIGH-KEY	CH-NONE	app	STYLE_ID=googie; SKELETON=SK-TABLE-FIRST; TYPE_ERA=TY-DISPLAY-EXTREME; CONTROL=sharp-0; MATERIAL=motel-neon; COLOUR_STRAT=CS-HIGH-KEY; CHROME=CH-NONE; FEEL=atomic roadside angles neon
C0056	midcentury-ranch	Mid-century Ranch Interior	architecture	SK-TIMELINE	TY-HUMANIST	soft-rect	teak	CS-LOW-KEY	CH-MIN	app	STYLE_ID=midcentury-ranch; SKELETON=SK-TIMELINE; TYPE_ERA=TY-HUMANIST; CONTROL=soft-rect; MATERIAL=teak; COLOUR_STRAT=CS-LOW-KEY; CHROME=CH-MIN; FEEL=horizontal glass indoor-outdoor
C0057	japanese-metabolist	Metabolist	architecture	SK-MAP-STAGE	TY-GEOMETRIC	sharp-0	capsule-module	CS-SEPIA	CH-STANDARD	app	STYLE_ID=japanese-metabolist; SKELETON=SK-MAP-STAGE; TYPE_ERA=TY-GEOMETRIC; CONTROL=sharp-0; MATERIAL=capsule-module; COLOUR_STRAT=CS-SEPIA; CHROME=CH-STANDARD; FEEL=modular capsules future
C0058	high-tech-arch	High-Tech Architecture	architecture	SK-BOARD-KANBAN	TY-MONO-DATA	sharp-0	scaffold	CS-INVERTED	CH-APP	app	STYLE_ID=high-tech-arch; SKELETON=SK-BOARD-KANBAN; TYPE_ERA=TY-MONO-DATA; CONTROL=sharp-0; MATERIAL=scaffold; COLOUR_STRAT=CS-INVERTED; CHROME=CH-APP; FEEL=exposed structure services
C0059	parametric-blob	Parametric / Blobitecture	architecture	SK-TICKET-STUB	TY-GROTESK-SOFT	pill	white-composite	CS-REGIONAL-FLAG	CH-DENSE	marketing	STYLE_ID=parametric-blob; SKELETON=SK-TICKET-STUB; TYPE_ERA=TY-GROTESK-SOFT; CONTROL=pill; MATERIAL=white-composite; COLOUR_STRAT=CS-REGIONAL-FLAG; CHROME=CH-DENSE; FEEL=smooth digital curves
C0060	shaker-simplicity	Shaker	architecture	SK-LEDGER	TY-HUMANIST	sharp-0	oak-timber	CS-BRAND-LOCKUP	CH-IMMERSIVE	app	STYLE_ID=shaker-simplicity; SKELETON=SK-LEDGER; TYPE_ERA=TY-HUMANIST; CONTROL=sharp-0; MATERIAL=oak-timber; COLOUR_STRAT=CS-BRAND-LOCKUP; CHROME=CH-IMMERSIVE; FEEL=utility pure spare wood
C0061	craftsman-bungalow	Craftsman Bungalow	architecture	SK-TERMINAL	TY-SLAB	chunk-border	oak-timber	CS-MONO-PLUS	CH-NONE	app	STYLE_ID=craftsman-bungalow; SKELETON=SK-TERMINAL; TYPE_ERA=TY-SLAB; CONTROL=chunk-border; MATERIAL=oak-timber; COLOUR_STRAT=CS-MONO-PLUS; CHROME=CH-NONE; FEEL=built-in wood honest joinery
C0062	industrial-loft	Industrial Loft	architecture	SK-POSTER	TY-INDUSTRIAL-COND	chunk-border	brick-industrial	CS-DUOTONE	CH-MIN	marketing	STYLE_ID=industrial-loft; SKELETON=SK-POSTER; TYPE_ERA=TY-INDUSTRIAL-COND; CONTROL=chunk-border; MATERIAL=brick-industrial; COLOUR_STRAT=CS-DUOTONE; CHROME=CH-MIN; FEEL=brick iron factory conversion
C0063	biophilic	Biophilic	architecture	SK-BOTTOM-SHEET	TY-HUMANIST	soft-rect	leaf-wood	CS-PRIMARY-TRIO	CH-STANDARD	mobile	STYLE_ID=biophilic; SKELETON=SK-BOTTOM-SHEET; TYPE_ERA=TY-HUMANIST; CONTROL=soft-rect; MATERIAL=leaf-wood; COLOUR_STRAT=CS-PRIMARY-TRIO; CHROME=CH-STANDARD; FEEL=plants daylight organic calm
C0064	solarpunk	Solarpunk	architecture	SK-TAB-DECK	TY-HUMANIST	chunk-border	leaf-solar	CS-TONAL	CH-APP	mobile	STYLE_ID=solarpunk; SKELETON=SK-TAB-DECK; TYPE_ERA=TY-HUMANIST; CONTROL=chunk-border; MATERIAL=leaf-solar; COLOUR_STRAT=CS-TONAL; CHROME=CH-APP; FEEL=hopeful green tech craft
